id,project,commit,method,source class,target class
1,iluwatar/java-design-patterns,4cdc309e65f3a1eae597ecb3b22e5ad6b7abbd41,start,com.iluwatar.data.locality.game.GameEntity,com.iluwatar.data.locality.game.component.manager.AiComponentManager
2,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,main,smoketest.session.redis.SampleSessionRedisApplication,org.springframework.boot.SpringApplication
3,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,resolveParameter,org.springframework.boot.context.embedded.EmbeddedServerContainerInvocationContextProvider.RestTemplateParameterResolver,org.springframework.boot.context.embedded.AbstractApplicationLauncher
4,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,writeProjectFile,org.springframework.boot.image.paketo.PaketoBuilderTests,org.springframework.boot.testsupport.gradle.testkit.GradleBuild
5,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,createDefaultRepositoryConfiguration,org.springframework.boot.cli.compiler.RepositoryConfigurationFactory,org.springframework.boot.cli.compiler.maven.MavenSettings
6,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,elasticsearchSniffer,org.springframework.boot.autoconfigure.elasticsearch.ElasticsearchRestClientConfigurations.RestClientSnifferConfiguration,org.springframework.boot.autoconfigure.elasticsearch.ElasticsearchRestClientProperties.Sniffer
7,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,createConnector,org.springframework.boot.web.embedded.jetty.JettyReactiveWebServerFactory,org.springframework.boot.web.server.AbstractConfigurableWebServerFactory
8,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,run,io.spring.concourse.releasescripts.command.PromoteCommand,io.spring.concourse.releasescripts.artifactory.ArtifactoryService
9,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,buildMessage,org.springframework.boot.diagnostics.analyzer.BeanCurrentlyInCreationFailureAnalyzer,org.springframework.boot.diagnostics.analyzer.BeanCurrentlyInCreationFailureAnalyzer.DependencyCycle
10,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,setDateFormat,org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties,org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties.Format
11,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,start,org.springframework.boot.web.embedded.netty.NettyWebServer,org.springframework.boot.web.server.PortInUseException
12,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,run,smoketest.xml.SampleSpringXmlApplication,smoketest.xml.service.HelloWorldService
13,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,recordEvaluation,org.springframework.boot.autoconfigure.condition.SpringBootCondition,org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport
14,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,OnWsdlLocationsCondition,org.springframework.boot.autoconfigure.webservices.OnWsdlLocationsCondition,org.springframework.boot.autoconfigure.condition.ConditionMessage
15,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,getDependencyJarPaths,org.springframework.boot.devtools.tests.AbstractApplicationLauncher,org.springframework.boot.devtools.tests.Directories
16,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,wavefrontSender,org.springframework.boot.actuate.autoconfigure.wavefront.WavefrontAutoConfiguration,org.springframework.boot.context.properties.PropertyMapper.Source
17,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,isEnabled,org.springframework.boot.sql.init.AbstractScriptDatabaseInitializer,org.springframework.boot.sql.init.DatabaseInitializationSettings
18,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,tryMap,org.springframework.boot.context.properties.source.DefaultPropertyMapper,org.springframework.boot.context.properties.source.ConfigurationPropertyName
19,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,getClusterConfiguration,org.springframework.boot.autoconfigure.data.redis.RedisConnectionConfiguration,org.springframework.boot.autoconfigure.data.redis.RedisProperties.Cluster
20,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,getNonOptionArgs,org.springframework.boot.DefaultApplicationArguments,org.springframework.boot.DefaultApplicationArguments.Source
21,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,isExcluded,org.springframework.boot.cli.command.archive.ResourceMatcher,org.springframework.boot.cli.command.archive.ResourceMatcher.MatchedResource
22,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,defaults,org.springframework.boot.logging.logback.DefaultLogbackConfiguration,org.springframework.boot.logging.logback.LogbackConfigurator
23,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,main,smoketest.oauth2.resource.SampleOauth2ResourceServerApplication,org.springframework.boot.SpringApplication
24,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,restart,org.springframework.boot.devtools.restart.server.RestartServer,org.springframework.boot.devtools.restart.Restarter
25,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,ReflectiveOperationInvoker,org.springframework.boot.actuate.endpoint.invoke.reflect.ReflectiveOperationInvoker,org.springframework.boot.actuate.endpoint.invoke.reflect.OperationMethod
26,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,health,org.springframework.boot.actuate.health.HealthEndpoint,org.springframework.boot.actuate.endpoint.SecurityContext
27,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,GradleBuildInjectionExtension,org.springframework.boot.image.junit.GradleBuildInjectionExtension,org.springframework.boot.testsupport.gradle.testkit.GradleVersions
28,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,launchApplication,org.springframework.boot.devtools.tests.LocalApplicationLauncher,org.springframework.boot.devtools.tests.Directories
29,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,findConfigurationProperty,org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource,org.springframework.boot.context.properties.source.ConfigurationPropertyName
