Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.jsoup.helper.W3CDom::convert(org.jsoup.nodes.Document, org.w3c.dom.Document):void	org.jsoup.nodes.Document	0/2	
Move Method	org.jsoup.parser.HtmlTreeBuilder::isSameFormattingElement(org.jsoup.nodes.Element, org.jsoup.nodes.Element):boolean	org.jsoup.nodes.Element	0/2	
Move Method	org.jsoup.helper.W3CDom.W3CBuilder::copyAttributes(org.jsoup.nodes.Node, org.w3c.dom.Element):void	org.jsoup.nodes.Node	0/1	
Move Method	org.jsoup.nodes.Node::indent(java.lang.Appendable, int, org.jsoup.nodes.Document.OutputSettings):void	org.jsoup.nodes.Document.OutputSettings	0/1	
Move Method	org.jsoup.nodes.Attributes::put(org.jsoup.nodes.Attribute):org.jsoup.nodes.Attributes	org.jsoup.nodes.Attribute	1/3	
Move Method	org.jsoup.nodes.Document::findFirstElementByTagName(java.lang.String, org.jsoup.nodes.Node):org.jsoup.nodes.Element	org.jsoup.nodes.Node	1/3	
Move Method	org.jsoup.parser.HtmlTreeBuilder::insert(org.jsoup.parser.Token.Character):void	org.jsoup.parser.Token.Character	1/2	
Move Method	org.jsoup.parser.XmlTreeBuilder::insert(org.jsoup.parser.Token.Comment):void	org.jsoup.parser.Token.Comment	1/2	
Move Method	org.jsoup.parser.XmlTreeBuilder::insert(org.jsoup.parser.Token.Character):void	org.jsoup.parser.Token.Character	1/2	
Move Method	org.jsoup.safety.Cleaner::createSafeElement(org.jsoup.nodes.Element):org.jsoup.safety.Cleaner.ElementMeta	org.jsoup.safety.Whitelist	1/2	
Move Method	org.jsoup.select.QueryParser::consumeSubQuery():java.lang.String	org.jsoup.parser.TokenQueue	2/5	
Move Method	org.jsoup.parser.Tokeniser::unescapeEntities(boolean):java.lang.String	org.jsoup.parser.CharacterReader	2/4	
Move Method	org.jsoup.parser.XmlTreeBuilder::insert(org.jsoup.parser.Token.Doctype):void	org.jsoup.parser.Token.Doctype	2/4	
Move Method	org.jsoup.safety.Whitelist::testValidProtocol(org.jsoup.nodes.Element, org.jsoup.nodes.Attribute, java.util.Set<org.jsoup.safety.Whitelist.Protocol>):boolean	org.jsoup.nodes.Attribute	2/3	
