Refactoring Type	Source Method	Target Class
Move Method	org.jsoup.helper.HttpConnection.Response::serialiseRequestUrl(org.jsoup.Connection.Request):void 	 org.jsoup.helper.DataUtil
Move Method	org.jsoup.nodes.Attribute::shouldCollapseAttribute(java.lang.String, java.lang.String, org.jsoup.nodes.Document.OutputSettings):boolean 	 org.jsoup.nodes.Document.OutputSettings.Syntax
Move Method	org.jsoup.nodes.Document::createElement(java.lang.String):org.jsoup.nodes.Element 	 org.jsoup.parser.ParseSettings
Move Method	org.jsoup.nodes.Document::ensureMetaCharsetElement():void 	 org.jsoup.nodes.Document.OutputSettings.Syntax
Move Method	org.jsoup.nodes.Entities.EscapeMode::codepointForName(java.lang.String):int 	 org.jsoup.nodes.Entities
Move Method	org.jsoup.nodes.Entities.EscapeMode::nameForCodepoint(int):java.lang.String 	 org.jsoup.nodes.Entities
Move Method	org.jsoup.nodes.Entities::escape(java.lang.Appendable, java.lang.String, org.jsoup.nodes.Document.OutputSettings, boolean, boolean, boolean):void 	 org.jsoup.nodes.Entities.EscapeMode
Move Method	org.jsoup.nodes.Entities::canEncode(org.jsoup.nodes.Entities.CoreCharset, char, java.nio.charset.CharsetEncoder):boolean 	 org.jsoup.nodes.Entities.CoreCharset
Move Method	org.jsoup.nodes.Entities::load(org.jsoup.nodes.Entities.EscapeMode, java.lang.String, int):void 	 org.jsoup.nodes.Entities.EscapeMode
Move Method	org.jsoup.parser.CharacterReader::consumeTagName():java.lang.String 	 org.jsoup.parser.TokeniserState
Move Method	org.jsoup.parser.HtmlTreeBuilderState::handleRcData(org.jsoup.parser.Token.StartTag, org.jsoup.parser.HtmlTreeBuilder):void 	 org.jsoup.parser.TreeBuilder
Move Method	org.jsoup.parser.HtmlTreeBuilderState::handleRawtext(org.jsoup.parser.Token.StartTag, org.jsoup.parser.HtmlTreeBuilder):void 	 org.jsoup.parser.TreeBuilder
Move Method	org.jsoup.parser.Parser::setTreeBuilder(org.jsoup.parser.TreeBuilder):org.jsoup.parser.Parser 	 org.jsoup.parser.TreeBuilder
Move Method	org.jsoup.parser.Token::isEOF():boolean 	 org.jsoup.parser.Token.TokenType
Move Method	org.jsoup.parser.Tokeniser::emit(org.jsoup.parser.Token):void 	 org.jsoup.parser.Token
Move Method	org.jsoup.parser.XmlTreeBuilder::popStackToClose(org.jsoup.parser.Token.EndTag):void 	 org.jsoup.parser.Token.Tag
