id,label,project,refactor,methodOrNull,source class,target class,url
25575,2,trinodb/trino,"Move Method	public writeLong(sliceOutput SliceOutput, value long) : void from class com.facebook.presto.spi.type.TimestampWithTimeZoneType to public writeLong(value long) : BlockBuilder from class com.facebook.presto.spi.block.FixedWidthBlockBuilder",writeLong,com.facebook.presto.spi.type.TimestampWithTimeZoneType,com.facebook.presto.spi.block.FixedWidthBlockBuilder,https///github.com/trinodb/trino/commit/5c28bfc523aff376184dd215451d6adb60d9f06b
7525,1,apache/cassandra,"Move Method	public setVersion(address InetAddress, version int) : Integer from class org.apache.cassandra.gms.Gossiper to public setVersion(address InetAddress, version int) : Integer from class org.apache.cassandra.net.MessagingService",setVersion,org.apache.cassandra.gms.Gossiper,org.apache.cassandra.net.MessagingService,https://github.com/apache/cassandra/commit/6a858a30d61fb6a575521bce9afa9448b5c309c1
18067,1,bazelbuild/bazel,"Move And Rename Method	private getFdoSupportProvider(ruleContext RuleContext) : FdoSupportProvider from class com.google.devtools.build.lib.rules.cpp.FdoSupport to public getFdoSupport(ruleContext RuleContext, ccToolchainAttribute String) : FdoSupportProvider from class com.google.devtools.build.lib.rules.cpp.CppHelper",getFdoSupportProvider,com.google.devtools.build.lib.rules.cpp.FdoSupport,com.google.devtools.build.lib.rules.cpp.CppHelper,https://github.com/bazelbuild/bazel/commit/655bafe74faeef1aa63752640a1e8b7b9505f43d
18825,2,oracle/graal,"Move Method	public stackAt(i int) : ValueNode from class com.oracle.graal.java.HIRFrameStateBuilder to public stackAt(i int) : T from class com.oracle.graal.java.AbstractFrameStateBuilder",stackAt,com.oracle.graal.java.HIRFrameStateBuilder,com.oracle.graal.java.AbstractFrameStateBuilder,https///github.com/oracle/graal/commit/1dae58c2a901860b600bca666a2d4c4ffdd3c710
27441,2,hazelcast/hazelcast,"Move Method	public refresh() : void from class com.hazelcast.executor.impl.client.PartitionCallableRequest to public refresh() : void from class com.hazelcast.executor.impl.client.TargetCallableRequest",refresh,com.hazelcast.executor.impl.client.PartitionCallableRequest,com.hazelcast.executor.impl.client.TargetCallableRequest,https://github.com/hazelcast/hazelcast/commit/26eb3813842f194787717c8c1bb5ae1ad44f7024
55,1,spring-projects/spring-boot,"Move Method	private getBeans(beanFactory ListableBeanFactory, type Class<T>) : Collection<T> from class org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration to private getBeans(beanFactory ListableBeanFactory, type Class<T>) : Collection<T> from class org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration.JacksonObjectMapperBuilderConfiguration",getBeans,org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration,org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration.JacksonObjectMapperBuilderConfiguration,https://github.com/spring-projects/spring-boot/commit/5e4a74562066b77ef37ed0b9ed0fc1533ad93b9b
4796,1,apache/hadoop,"Move Method	package replaceQueueFromPlacementContext(placementContext ApplicationPlacementContext, context ApplicationSubmissionContext) : void from class org.apache.hadoop.yarn.server.resourcemanager.rmapp.RMAppImpl to package replaceQueueFromPlacementContext(placementContext ApplicationPlacementContext, context ApplicationSubmissionContext) : void from class org.apache.hadoop.yarn.server.resourcemanager.RMAppManager",replaceQueueFromPlacementContext,org.apache.hadoop.yarn.server.resourcemanager.rmapp.RMAppImpl,org.apache.hadoop.yarn.server.resourcemanager.RMAppManager,https://github.com/apache/hadoop/commit/f9f317b70209d20161d66a73ddea3334d2b92f96
27495,2,hazelcast/hazelcast,"Move And Rename Method	public destroy() : void from class com.hazelcast.client.topic.ClientTopicTest to public clear() : void from class com.hazelcast.client.countdownlatch.ClientCountDownLatchTest",destroy,com.hazelcast.client.topic.ClientTopicTest,com.hazelcast.client.countdownlatch.ClientCountDownLatchTest,https://github.com/hazelcast/hazelcast/commit/c1d4ec2d19b090dfcb8cef3e67f80c0842721dbe
10900,1,hibernate/hibernate-orm,"Move Method	public implicitFetchBuilder(fetchPath NavigablePath, fetchable Fetchable) : ImplicitFetchBuilder from class org.hibernate.query.results.ResultsHelper to public implicitFetchBuilder(fetchPath NavigablePath, fetchable Fetchable) : ImplicitFetchBuilder from class org.hibernate.query.results.Builders",implicitFetchBuilder,org.hibernate.query.results.ResultsHelper,org.hibernate.query.results.Builders,https://github.com/hibernate/hibernate-orm/commit/59415fc190cc9f57f5eb4cd3e9c9b977fd91ce0d
28295,2,apache/hbase,"Move And Rename Method	public setConf(conf Configuration) : void from class org.apache.hadoop.hbase.master.cleaner.TimeToLiveLogCleaner to protected getTtlMs(conf Configuration) : long from class org.apache.hadoop.hbase.master.cleaner.TimeToLiveHFileCleaner",setConf,org.apache.hadoop.hbase.master.cleaner.TimeToLiveLogCleaner,org.apache.hadoop.hbase.master.cleaner.TimeToLiveHFileCleaner,https://github.com/apache/hbase/commit/c303f9d329d578d31140e507bdbcbe3aa097042b
945,1,apache/dubbo,"Move Method	public getChangeType(change ConfigChange) : ConfigChangeType from class org.apache.dubbo.configcenter.support.apollo.ApolloDynamicConfiguration to private getChangeType(change ConfigChange) : ConfigChangeType from class org.apache.dubbo.configcenter.support.apollo.ApolloDynamicConfiguration.ApolloListener",getChangeType,org.apache.dubbo.configcenter.support.apollo.ApolloDynamicConfiguration,org.apache.dubbo.configcenter.support.apollo.ApolloDynamicConfiguration.ApolloListener,https://github.com/apache/dubbo/commit/607af9d0d0e0db8ec40bb6a8608333d37946b5b0
28908,2,apache/camel,"Move Method	public setServiceCallConfiguration(configuration ServiceCallConfigurationDefinition) : void from class org.apache.camel.impl.AbstractModelCamelContext to public setServiceCallConfiguration(configuration ServiceCallConfigurationDefinition) : void from class org.apache.camel.impl.DefaultCamelContext",setServiceCallConfiguration,org.apache.camel.impl.AbstractModelCamelContext,org.apache.camel.impl.DefaultCamelContext,https://github.com/apache/camel/commit/73b7290d523c8290d756ca2c9167f53fb8d8a1f0
13908,1,bisq-network/bisq,"Move Method	public isSignWitnessTrade() : boolean from class bisq.desktop.main.portfolio.pendingtrades.PendingTradesViewModel to public isSignWitnessTrade(trade Trade) : boolean from class bisq.core.account.witness.AccountAgeWitnessService",isSignWitnessTrade,bisq.desktop.main.portfolio.pendingtrades.PendingTradesViewModel,bisq.core.account.witness.AccountAgeWitnessService,https///github.com/bisq-network/bisq/commit/43e4809d81929143c5d5b1dc53aed911d681605f
18906,0,oracle/graal,"Move Method	package tlabStats() : boolean from class com.oracle.graal.hotspot.stubs.NewInstanceStub to public tlabStats() : boolean from class com.oracle.graal.hotspot.snippets.HotSpotSnippetUtils",tlabStats,com.oracle.graal.hotspot.stubs.NewInstanceStub,com.oracle.graal.hotspot.snippets.HotSpotSnippetUtils,https///github.com/oracle/graal/commit/5dd2ebca5f40483d342ca313207c8c56b020e3b4
17459,2,apache/skywalking,"Move And Rename Method	private appendMethodName(clazz Class, simpleMethodName String, allArguments Object[]) : String from class com.ai.cloud.skywalking.plugin.interceptor.enhance.MethodInvokeContext to private fullMethodName(clazz Class, simpleMethodName String, allArguments Object[]) : String from class com.ai.cloud.skywalking.plugin.custom.localmethod.CustomLocalMethodInterceptor",appendMethodName,com.ai.cloud.skywalking.plugin.interceptor.enhance.MethodInvokeContext,com.ai.cloud.skywalking.plugin.custom.localmethod.CustomLocalMethodInterceptor,https://github.com/apache/skywalking/commit/f50566dc6d29254880a00245c1e190762641a27d
28003,0,sofastack/sofa-boot,"Move Method	public setJsonOutput(jsonOutput boolean) : void from class com.alipay.sofa.tracer.boot.springmvc.properties.OpenTracingSpringMvcProperties to public setJsonOutput(jsonOutput boolean) : void from class com.alipay.sofa.tracer.boot.properties.SofaTracerProperties",setJsonOutput,com.alipay.sofa.tracer.boot.springmvc.properties.OpenTracingSpringMvcProperties,com.alipay.sofa.tracer.boot.properties.SofaTracerProperties,https://github.com/sofastack/sofa-boot/commit/359f4827910d8688c5b9d217a84fa8ebc073b796
26292,2,hibernate/hibernate-orm,"Move Method	public getCorrelationParent() : From<Z,X> from class org.hibernate.ejb.criteria.JoinImpl to public getCorrelationParent() : From<Z,X> from class org.hibernate.ejb.criteria.path.AbstractFromImpl",getCorrelationParent,org.hibernate.ejb.criteria.JoinImpl,org.hibernate.ejb.criteria.path.AbstractFromImpl,https://github.com/hibernate/hibernate-orm/commit/84ed210c394f493ba83d47a6a23eb464263ebc61
27457,2,hazelcast/hazelcast,"Move Method	protected createConfigOnAllMembers(cacheConfig CacheConfig<K,V>) : void from class com.hazelcast.cache.impl.HazelcastServerCacheManager to protected createConfigOnAllMembers(cacheConfig CacheConfig<K,V>) : void from class com.hazelcast.cache.impl.CacheService",createConfigOnAllMembers,com.hazelcast.cache.impl.HazelcastServerCacheManager,com.hazelcast.cache.impl.CacheService,https://github.com/hazelcast/hazelcast/commit/497cfed16913136461f5e5d0a7e1b89088a8f822
12450,1,apache/hbase,"Move Method	public joinZNode(prefix String, suffix String) : String from class org.apache.hadoop.hbase.zookeeper.ZKUtil to public joinZNode(prefix String, suffix String) : String from class org.apache.hadoop.hbase.zookeeper.ZNodePaths",joinZNode,org.apache.hadoop.hbase.zookeeper.ZKUtil,org.apache.hadoop.hbase.zookeeper.ZNodePaths,https://github.com/apache/hbase/commit/72270866cbacbcfd10f2ad2cce33362577eeef4d
27018,2,opensearch-project/OpenSearch,"Move And Rename Method	public validate(request ValidateRequest, listener ActionListener<ValidateResponse>) : void from class org.elasticsearch.client.transport.support.InternalTransportClient to public validateQuery(request ValidateQueryRequest, listener ActionListener<ValidateQueryResponse>) : void from class org.elasticsearch.client.transport.support.InternalTransportIndicesAdminClient",validate,org.elasticsearch.client.transport.support.InternalTransportClient,org.elasticsearch.client.transport.support.InternalTransportIndicesAdminClient,https://github.com/opensearch-project/OpenSearch/commit/f6b036f713956448c040be1e1a2525b85858da13
9031,1,apache/tomcat,"Move Method	private getMethod(type Class<?>, m Method) : Method from class javax.el.BeanELResolver to package getMethod(type Class<?>, m Method) : Method from class javax.el.Util",getMethod,javax.el.BeanELResolver,javax.el.Util,https://github.com/apache/tomcat/commit/50d59a8271aef4791735446aab6da4dd8b90721f
5102,1,termux/termux-app,"Move And Rename Method	private returnOnFinishedSession(currentSession TerminalSession) : void from class com.termux.app.TermuxKeyListener to public removeFinishedSession(finishedSession TerminalSession) : void from class com.termux.app.TermuxActivity",returnOnFinishedSession,com.termux.app.TermuxKeyListener,com.termux.app.TermuxActivity,https://github.com/termux/termux-app/commit/dfdc9b37e1e725985ef37b45b7740dda83501e1e
8734,1,processing/processing,"Move And Rename Method	public wrap(ogl PGraphicsOpenGL, tex PTexture) : PImage from class processing.opengl.PTexture to protected wrapTexture(tex PTexture) : PImage from class processing.opengl.PGraphicsOpenGL",wrap,processing.opengl.PTexture,processing.opengl.PGraphicsOpenGL,https://github.com/processing/processing/commit/773a4ecfd3a40452a9ae6cc26897ab59482656e3
21912,2,neo4j/neo4j,"Move And Rename Method	public startServer() : void from class org.neo4j.server.rest.RemoveRelationshipPropertiesFunctionalTest to public startNeoServer() : void from class org.neo4j.server.rest.FunctionalTestBase",startServer,org.neo4j.server.rest.RemoveRelationshipPropertiesFunctionalTest,org.neo4j.server.rest.FunctionalTestBase,https://github.com/neo4j/neo4j/commit/8538daf0b76e5aea6e23a9f9b95621beaa2358f4
10440,1,trinodb/trino,"Move Method	private currentNumberOfWorkerNodes(includeCoordinator boolean, nodeManager InternalNodeManager) : IntSupplier from class com.facebook.presto.cost.CostCalculatorWithEstimatedExchanges to package currentNumberOfWorkerNodes(includeCoordinator boolean, nodeManager InternalNodeManager) : IntSupplier from class com.facebook.presto.cost.CostCalculatorUsingExchanges",currentNumberOfWorkerNodes,com.facebook.presto.cost.CostCalculatorWithEstimatedExchanges,com.facebook.presto.cost.CostCalculatorUsingExchanges,https///github.com/trinodb/trino/commit/0312a95dc2ac58e503d35698d12f2461d363ded8
30401,2,TeamAmaze/AmazeFileManager,"Move Method	public onConfigurationChanged(newConfig Configuration) : void from class com.amaze.filemanager.crashreport.ErrorActivity to public onConfigurationChanged(newConfig Configuration) : void from class com.amaze.filemanager.ui.activities.superclasses.PreferenceActivity",onConfigurationChanged,com.amaze.filemanager.crashreport.ErrorActivity,com.amaze.filemanager.ui.activities.superclasses.PreferenceActivity,https://github.com/TeamAmaze/AmazeFileManager/commit/48fc52e1b8fc17206a55c9a3f17ebfef577e8b96
