Refactoring Type	Source Method	Target Class
Move Method	org.joda.time.chrono.CopticChronology::readResolve():java.lang.Object 	 org.joda.time.DateTimeZone
Move Method	org.joda.time.chrono.EthiopicChronology::readResolve():java.lang.Object 	 org.joda.time.DateTimeZone
Move Method	org.joda.time.chrono.GJChronology::getInstanceUTC():org.joda.time.chrono.GJChronology 	 org.joda.time.DateTimeZone
Move Method	org.joda.time.chrono.GregorianChronology::readResolve():java.lang.Object 	 org.joda.time.DateTimeZone
Move Method	org.joda.time.chrono.JulianChronology::readResolve():java.lang.Object 	 org.joda.time.DateTimeZone
Move Method	org.joda.time.format.DateTimeFormat::patternForStyle(java.lang.String, java.util.Locale):java.lang.String 	 org.joda.time.format.DateTimeFormat.StyleFormatter
Move Method	org.joda.time.format.DateTimeFormatter::withZoneUTC():org.joda.time.format.DateTimeFormatter 	 org.joda.time.DateTimeZone
Move Method	org.joda.time.format.DateTimeFormatterBuilder::appendTimeZoneId():org.joda.time.format.DateTimeFormatterBuilder 	 org.joda.time.format.DateTimeFormatterBuilder.TimeZoneId
Move Method	org.joda.time.format.ISODateTimeFormat.Constants::dateHourMinuteSecondFraction():org.joda.time.format.DateTimeFormatter 	 org.joda.time.format.ISODateTimeFormat
Move Method	org.joda.time.format.PeriodFormatterBuilder::appendSeparator(java.lang.String, java.lang.String, java.lang.String[], boolean, boolean):org.joda.time.format.PeriodFormatterBuilder 	 org.joda.time.format.PeriodFormatterBuilder.Literal
Move Method	org.joda.time.format.PeriodFormatterBuilder.FieldFormatter::getFieldValue(org.joda.time.ReadablePeriod):long 	 org.joda.time.format.PeriodFormatterBuilder
Move Method	org.joda.time.tz.CachedDateTimeZone::getInfo(long):org.joda.time.tz.CachedDateTimeZone.Info 	 org.joda.time.tz.CachedDateTimeZone.Info
Move Method	org.joda.time.tz.ZoneInfoProvider::loadZoneInfoMap(java.io.InputStream):java.util.Map<java.lang.String,java.lang.Object> 	 org.joda.time.DateTimeZone
