Refactoring Type	Source Method	Target Class
Move Method	org.jsoup.helper.HttpConnection.Response::execute(org.jsoup.Connection.Request, org.jsoup.helper.HttpConnection.Response):org.jsoup.helper.HttpConnection.Response 	 org.jsoup.helper.HttpConnection.Request
Move Method	org.jsoup.Jsoup::clean(java.lang.String, java.lang.String, org.jsoup.safety.Whitelist):java.lang.String 	 org.jsoup.safety.Cleaner
Move Method	org.jsoup.Jsoup::clean(java.lang.String, java.lang.String, org.jsoup.safety.Whitelist, org.jsoup.nodes.Document.OutputSettings):java.lang.String 	 org.jsoup.safety.Cleaner
Move Method	org.jsoup.nodes.Attribute::shouldCollapseAttribute(java.lang.String, java.lang.String, org.jsoup.nodes.Document.OutputSettings):boolean 	 org.jsoup.nodes.Document.OutputSettings.Syntax
Move Method	org.jsoup.nodes.Comment::asXmlDeclaration():org.jsoup.nodes.XmlDeclaration 	 org.jsoup.parser.Parser
Move Method	org.jsoup.nodes.Document::ensureMetaCharsetElement():void 	 org.jsoup.nodes.Document.OutputSettings.Syntax
Move Method	org.jsoup.nodes.Entities::escape(java.lang.Appendable, java.lang.String, org.jsoup.nodes.Document.OutputSettings, boolean, boolean, boolean):void 	 org.jsoup.nodes.Entities.EscapeMode
Move Method	org.jsoup.nodes.FormElement::submit():org.jsoup.Connection 	 org.jsoup.Connection.Method
Move Method	org.jsoup.parser.CharacterReader::consumeData():java.lang.String 	 org.jsoup.parser.TokeniserState
Move Method	org.jsoup.parser.CharacterReader::consumeTagName():java.lang.String 	 org.jsoup.parser.TokeniserState
Move Method	org.jsoup.parser.HtmlTreeBuilder::resetInsertionMode():void 	 org.jsoup.parser.HtmlTreeBuilderState
Move Method	org.jsoup.parser.Tag::valueOf(java.lang.String, org.jsoup.parser.ParseSettings):org.jsoup.parser.Tag 	 org.jsoup.helper.Validate
Move Method	org.jsoup.parser.Tag::valueOf(java.lang.String):org.jsoup.parser.Tag 	 org.jsoup.parser.ParseSettings
Move Method	org.jsoup.parser.Token.StartTag::nameAttr(java.lang.String, org.jsoup.nodes.Attributes):org.jsoup.parser.Token.StartTag 	 org.jsoup.internal.Normalizer
Move Method	org.jsoup.parser.Tokeniser::emit(org.jsoup.parser.Token):void 	 org.jsoup.parser.Token.Tag
Move Method	org.jsoup.parser.Tokeniser::consumeCharacterReference(java.lang.Character, boolean):int[] 	 org.jsoup.nodes.Entities
Move Method	org.jsoup.safety.Whitelist::testValidProtocol(org.jsoup.nodes.Element, org.jsoup.nodes.Attribute, java.util.Set<org.jsoup.safety.Whitelist.Protocol>):boolean 	 org.jsoup.internal.Normalizer
Move Method	org.jsoup.select.Elements::siblings(java.lang.String, boolean, boolean):org.jsoup.select.Elements 	 org.jsoup.select.QueryParser
Move Method	org.jsoup.select.NodeTraversor::filter(org.jsoup.select.NodeFilter, org.jsoup.select.Elements):void 	 org.jsoup.select.NodeFilter.FilterResult
