Refactoring Type	Source Method	Target Class
Move Method	org.joda.example.time.AgeCalculator.FieldSet::addTo(java.awt.Container):void 	 org.joda.example.time.AgeCalculator.FieldGroup
Move Method	org.joda.time.chrono.BasicChronology::getYearInfo(int):org.joda.time.chrono.BasicChronology.YearInfo 	 org.joda.time.chrono.BasicChronology.YearInfo
Move Method	org.joda.time.chrono.GregorianChronology::readResolve():java.lang.Object 	 org.joda.time.DateTimeZone
Move Method	org.joda.time.DateTime::withDurationAdded(org.joda.time.ReadableDuration, int):org.joda.time.DateTime 	 org.joda.time.ReadableDuration
Move Method	org.joda.time.format.DateTimeFormat::patternForStyle(java.lang.String, java.util.Locale):java.lang.String 	 org.joda.time.format.DateTimeFormat.StyleFormatter
Move Method	org.joda.time.format.DateTimeFormat::parsePatternTo(org.joda.time.format.DateTimeFormatterBuilder, java.lang.String):void 	 org.joda.time.format.DateTimeFormatterBuilder
Move Method	org.joda.time.format.DateTimeFormatter::withZoneUTC():org.joda.time.format.DateTimeFormatter 	 org.joda.time.DateTimeZone
Move Method	org.joda.time.format.DateTimeFormatterBuilder::appendTimeZoneId():org.joda.time.format.DateTimeFormatterBuilder 	 org.joda.time.format.DateTimeFormatterBuilder.TimeZoneId
Move Method	org.joda.time.format.ISODateTimeFormat.Constants::hourMinuteSecondMillis():org.joda.time.format.DateTimeFormatter 	 org.joda.time.format.DateTimeFormatterBuilder
Move Method	org.joda.time.format.ISODateTimeFormat.Constants::dateHourMinuteSecondFraction():org.joda.time.format.DateTimeFormatter 	 org.joda.time.format.DateTimeFormatterBuilder
Move Method	org.joda.time.format.PeriodFormatterBuilder::appendSeparator(java.lang.String, java.lang.String, java.lang.String[], boolean, boolean):org.joda.time.format.PeriodFormatterBuilder 	 org.joda.time.format.PeriodFormatterBuilder.Literal
Move Method	org.joda.time.format.PeriodFormatterBuilder.FieldFormatter::getFieldValue(org.joda.time.ReadablePeriod):long 	 org.joda.time.format.PeriodFormatterBuilder
Move Method	org.joda.time.tz.CachedDateTimeZone::getInfo(long):org.joda.time.tz.CachedDateTimeZone.Info 	 org.joda.time.tz.CachedDateTimeZone.Info
