Refactoring Type	Source Method	Target Class
Move Method	org.apache.commons.compress.archivers.zip.AsiExtraField::getMode(int):int 	 org.apache.commons.compress.archivers.zip.UnixStat
Move Method	org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding::encodeHighChar(char):org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.Simple8BitChar 	 org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.Simple8BitChar
Move Method	org.apache.commons.compress.archivers.zip.ZipArchiveInputStream::matches(byte[], int):boolean 	 org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream
Move Method	org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream::writeLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry):void 	 org.apache.commons.compress.archivers.zip.ZipEncodingHelper
Move Method	org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream::writeCentralFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry):void 	 org.apache.commons.compress.archivers.zip.ZipEncodingHelper
Move Method	org.apache.commons.compress.archivers.zip.ZipFile::populateFromCentralDirectory():java.util.Map 	 org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream
Move Method	org.apache.commons.compress.archivers.zip.ZipFile::positionAtCentralDirectory():void 	 org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream
Move Method	org.apache.commons.compress.archivers.zip.ZipFile::startsWithLocalFileHeader():boolean 	 org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream
Move Method	org.apache.commons.compress.archivers.zip.ZipFile::setNameAndCommentFromExtraFields(org.apache.commons.compress.archivers.zip.ZipArchiveEntry, org.apache.commons.compress.archivers.zip.ZipFile.NameAndComment):void 	 org.apache.commons.compress.archivers.zip.ZipFile.NameAndComment
Move Method	org.apache.commons.compress.archivers.zip.ZipFile::getUnicodeStringIfOriginalMatches(org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField, byte[]):java.lang.String 	 org.apache.commons.compress.archivers.zip.ZipEncodingHelper
Move Method	org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream::makeMaps():void 	 org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream.Data
Move Method	org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream::recvDecodingTables():void 	 org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream.Data
Move Method	org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream::createHuffmanDecodingTables(int, int):void 	 org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream.Data
Move Method	org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream::getAndMoveToFrontDecode():void 	 org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream.Data
Move Method	org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream::getAndMoveToFrontDecode0(int):int 	 org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream.Data
Move Method	org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream::setupRandPartA():void 	 org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream.Data
Move Method	org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream::setupNoRandPartA():void 	 org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream.Data
Move Method	org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream::setupRandPartB():void 	 org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream.Data
